"","RNA.g0","RNA.g1","RNA.g2","RNA.g3","RNA.g4","RNA.g5","RNA.g6","RNA.g7","RNA.g8","RNA.g9","RNA.g10","RNA.g11","RNA.g12"
"RP5-832C2.5",0.0369907182882322,0.0504894945813848,0.0237657894683627,0.0287028345408008,0.00985334140645871,0.0112267292429876,0.0112371406141457,0.0118623789079728,0.02323268595848,0.0458610694056782,0.0247555897773911,0.0474954144500705,0.0538695061690217
"RP11-345P4.9",0.0794508665139319,0.0879012204366453,0.0477675242003714,0.0540682346595945,0.0320632796511007,0.0550440475122074,0.0179087467579087,0.0301550716389071,0.0385916233012457,0.0659225092464561,0.0135724413755291,0.0685302028927185,0.0308256654490529
"RP11-345P4.10",0.0180165866856958,0.0172348273393456,0.0283942851425916,0.00926069365714745,0.0145576708014807,0.0130630775754157,0.00453128268999689,0.00538519192373481,0.00318950532105939,0.0183035980040968,0.0045201875049139,0,0
"RP1-140A9.1",0.00232626031633576,0.00307989132373772,0.00585217170801272,0.00291859022527995,0,0.00280796435101411,0,0.00145174648731791,0,0,0.00529735301909086,0,0
"RP11-547D24.1",0,0.000516719759621968,0.00192455811144238,0.000800786041001733,0,0,0.00167784953380951,0,0,0.00665276698742018,0.0170062636479555,0.0412036779883197,0
"RP5-892K4.1",0.0103505882463869,0.00908200609388831,0.00027935571855403,0.00980556556261785,0.00496944903183488,0.00453261749350126,0.000592645693646743,0.00134683073219914,0.00696573304421634,0.0174513497387854,0.00721329631122203,0.0292366885357097,0
"RP11-181G12.2",0.0070728384004309,0.00553636118380026,0.0110211276377158,0.00372937961991895,0.00627619582294586,0.0197203121137132,0.00525675338233831,0.00737842829371476,0,0,0,0,0
"RP11-181G12.4",0.00218054893351487,0.00271196458784811,0.018587240386346,0.0255993493200962,0.00271867519009056,0.0120159253245697,0.00476179003837564,0.0157209148139074,0.03449943104816,0.0735808069441861,0.038110870911739,0,0.0514189046744926
"RP3-395M20.12",0.00100221815363856,0.00420343864584152,0.0201325806880305,0.0190821236967481,0.0203735800373299,0.000385501296248109,0.0629415829030421,0.0493623189530264,0.0133387373139757,0.0199884499308898,0.018112805486065,0,0.022156638572049
"RP3-395M20.8",0.000664976424704029,0,0.00191135240740984,0.000374128181738868,0.0254150057703045,0.00112599173112197,0.0752733339612707,0.0115154501377604,0,0.00656910255152681,0,0,0
"LINC00982",0.0017018126564491,0.00226646110822739,0.40277868811579,0.0030346579007066,0.00428372248376846,0.0906993957748849,0.0262822677034775,0.0165214348682577,0,0.0451566819790919,0.00577692699413997,0.0430463006009264,0.0489713566534934
"RP11-46F15.2",0.0069642498558024,0.00423024887865225,0.00446852196908392,0.0059711577792319,0.000901146937041706,0.00631748420254797,0.000728737941026736,0,0.00117159694087476,0.0339263415989619,0.00436606959102926,0.0132011110055022,0
"LINC01134",0.0097639411397144,0.0278628051848171,0.00875867316920245,0.0154944466035619,0.0316595497889987,0.00355580249790349,0.0211599195440403,0.0204705351665505,0,0.0176196473916823,0.0175381352413952,0,0
"RP11-154H17.1",0.00350883621568466,0.0148079478963371,0.0154388329252174,0.0798667275565921,0.00186507359581367,0.0242448924273569,0.00346973510884418,0.00113544947051153,0.36789509919647,0.00378200951024111,0.0738145299876242,0,0
"RP1-202O8.3",0.00695531736808811,0.00572232707132405,0.00478379131157085,0.00548347776540541,0.00149918901370304,0.00159285947663111,0.00611330788259313,0.00401335853601981,0.00898313800835175,0.0101775343376951,0.00453410041778353,0,0.0254918005623491
"RP11-312B8.1",0.0187627036007897,0.0178398835856164,0.0493933058979559,0.0120836285819393,0.0281824310139503,0.0161222734123055,0.00885318078102701,0.0127818476859718,0.0140775743452374,0.0117014477064426,0.00895813700029239,0,0
"RP11-334N17.1",0.00531474831180928,0.00801727021394349,0.0252459780220623,0.0154435259608955,0.00277016517180296,0.0170893992238539,0.00200525801534614,0.00364914892724144,0.00700784574036231,0.00423244951322598,0.0143219698623429,0,0
"RP11-338N10.1",0.00742917048981291,0.0124113471661484,0.0029190824462064,0.00258678817887448,0,0.00603291184799686,0,0.00137709180244792,0,0.00581951216745445,0,0.0528798358609895,0
"RP11-338N10.2",0.00184617879289876,0.00201769353880912,0.00404412026406964,0.000577406485602502,0,0.00229784660925603,0.00352926136727844,0,0,0.0150023896633392,0.000547983068857525,0,0
"RP11-338N10.3",0.00512902379281265,0.00665042975465735,0.00356924849731329,0.00228621666855834,0.00131275537591482,0.00685593074148558,0.00529916576208812,0.000701420067010867,0,0,0.00123404594293575,0,0
"RP3-467L1.4",0.0164729298491147,0.0141377663255447,0.0151788730466008,0.0172996688686288,0.0796954113388737,0.0238408572234049,0.0216580176290183,0.0344338071514361,0.0157239909005788,0.0041543526105429,0.00281653715978893,0.0187131351238061,0.0529630159259789
"RP11-431K24.1",0.0445536110537827,0.0317516999995236,0.0922331113697894,0.0400025955488937,0.0131304117870087,0.0289953199148195,0.0125580415553391,0.014929312403333,0.01833476759244,0.122990041100238,0.012406445691479,0.0575313846004523,0
"RP5-1115A15.1",0.0200062093530116,0.0154156428901137,0.036057240501818,0.0176557483085959,0.0313154417446032,0.0212183839807366,0.025746642483368,0.0206745527290751,0.0114795474464302,0.0365600675171209,0.00438452444617169,0,0
