"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINC01184",0.00766956939366977,-0.301535371813119,0.336,0.412,1
"STXBP5-AS1",0.00777806054556105,0.927696914745479,0.11,0.066,1
"RP11-152K4.2",0.00781827031458257,1.06248596094188,0.101,0.06,1
"LINC00278",0.0101232829217934,-0.64479618623977,0.121,0.174,1
"TAPT1-AS1",0.0102425602685343,0.545277520990719,0.237,0.176,1
"RP11-175K6.1",0.0109196386576463,-0.641354657139569,0.062,0.105,1
"SLC16A1-AS1",0.0116200985005108,-0.340054959915907,0.264,0.331,1
"KANTR",0.0120217927417539,0.296531969807516,0.299,0.231,1
"CTC-425F1.4",0.013080829924807,0.467868574361024,0.136,0.088,1
"RP11-96H19.1",0.0142433602184997,0.406299799771713,0.429,0.364,1
"RP4-568F9.6",0.0152940254859457,-0.503677426544854,0.095,0.143,1
"RP11-2B6.3",0.0154617150693746,0.392916482684856,0.334,0.272,1
"MIR22HG",0.015998139446047,-0.932013344758766,0.072,0.111,1
"RP11-296O14.3",0.0161388415234447,-0.269105130113784,0.07,0.113,1
"LINC00886",0.0167396750774469,-0.625941635243523,0.07,0.111,1
"GABPB1-AS1",0.0184251567857141,-0.631372814659691,0.116,0.163,1
"OTUD6B-AS1",0.020730382415431,0.305478171762385,0.193,0.14,1
"DUBR",0.020748024789458,0.305932787915819,0.389,0.327,1
"RP11-189B4.7",0.0219177377654234,0.509459782115639,0.145,0.101,1
"RP11-486O13.4",0.0307894843832862,0.55279291278694,0.158,0.115,1
"RP4-605O3.4",0.031865460569558,0.304073140238461,0.235,0.183,1
"RP5-864K19.4",0.0350915075491901,0.592285692387418,0.149,0.108,1
"CAPN15",0.0352215304261256,0.505379317995345,0.101,0.066,1
"OSMR-AS1",0.0353447850454867,0.379028057076348,0.347,0.297,1
"RAB30-AS1",0.0463847550513474,0.284697884524146,0.339,0.287,1
"RP11-511B23.2",0.0483189006224149,-1.04212217343473,0.079,0.111,1
"ZEB1-AS1",0.0501104140982049,-0.371544069456063,0.209,0.256,1
"RP11-679C8.2",0.0504483208598536,-0.615160875849259,0.088,0.123,1
"AC009948.5",0.0545543473116776,0.459790260625158,0.154,0.116,1
"FAM157C",0.0561870722638098,-0.631423519511813,0.077,0.11,1
"RP5-965F6.2",0.0576547500531831,-0.447314170188841,0.07,0.101,1
"SMC5-AS1",0.0590188740606978,-0.524378383174458,0.07,0.101,1
"FENDRR",0.0628108956568032,-0.567535843223161,0.081,0.113,1
"CTD-2007H13.3",0.0665573979871574,0.502292400811088,0.163,0.128,1
"RP11-324I22.4",0.0690321005416402,0.554932715518165,0.147,0.113,1
"RP4-545C24.1",0.0844004229445038,0.416855851179141,0.158,0.121,1
"RP11-944L7.4",0.0869106335297713,-0.291215211613999,0.09,0.123,1
"RP11-332H18.5",0.0902642939770186,0.458496211095507,0.105,0.076,1
"RP11-206L10.9",0.0955334075150876,-0.533131543902237,0.097,0.128,1
"LINC01004",0.115691014136623,0.281374616092223,0.339,0.304,1
"RP11-71N10.1",0.122486416228438,-0.293425519211298,0.092,0.121,1
"GATA2-AS1",0.123709549567161,-0.56465273970145,0.105,0.133,1
"RASSF8-AS1",0.133624709177101,0.467816873571665,0.108,0.083,1
"CTD-2054N24.2",0.14124492042386,0.405781994166143,0.231,0.199,1
"LINC01088",0.147760913564073,0.871203665933325,0.152,0.125,1
"CKMT2-AS1",0.149403546897815,-0.478395806836135,0.172,0.203,1
"NORAD",0.159083751783733,-0.307695059701726,0.433,0.465,1
"bP-21264C1.2",0.174098926799689,-0.368907009336362,0.084,0.108,1
"RP11-166B2.8",0.194642093608793,0.419557687146058,0.138,0.115,1
"RP1-78O14.1",0.221447954876698,0.841385203892991,0.103,0.083,1
"AC097662.2",0.231482321212974,0.386408447077146,0.105,0.085,1
"RP11-499P20.2",0.234191944858366,0.288776700132377,0.117,0.096,1
"RP11-983P16.4",0.28079116896918,0.257309963423572,0.152,0.131,1
"NUP50-AS1",0.321958923603677,-0.295879795540997,0.116,0.135,1
"ADAMTS9-AS1",0.333098778618099,0.777366424297394,0.106,0.091,1
"RP11-244M2.1",0.358066623099314,-0.411527237852965,0.112,0.13,1
"RP11-141M1.3",0.386522720252486,-0.341336513349776,0.152,0.168,1
"XIST",0.394581144288444,0.300506521306851,0.099,0.118,1
"AP000487.6",0.404570722960875,0.391917452458579,0.105,0.091,1
"SFTA1P",0.415422907773932,0.543207539897369,0.143,0.133,1
"AC013463.2",0.428089988534059,-0.257921297247506,0.297,0.316,1
"AC007038.7",0.473215900218761,0.324762056290794,0.127,0.115,1
"SNHG7",0.551389245585613,-0.259199187082698,0.128,0.138,1
"XXbac-BPG154L12.4",0.680626107524956,0.293042057129168,0.11,0.103,1
"PWAR6",0.69503243823618,0.319076299434643,0.123,0.118,1
"XXbac-BPG55C20.7",0.766167636309439,-0.308285039082463,0.127,0.131,1
