"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RP11-776H12.1",0.00014160619129918,2.59684248763006,0.147,0.034,1
"DUBR",0.000151312626623256,0.619640372925773,0.558,0.362,1
"LINC00880",0.000156795596016444,-0.73944933154746,0.423,0.58,1
"ZNF350-AS1",0.000169421935052861,1.4515402988216,0.204,0.069,1
"C8orf37-AS1",0.000170996369300002,-0.576187881242747,0.672,0.764,1
"DPH6-AS1",0.000194347730569429,0.535269618737582,0.687,0.54,1
"NUTM2B-AS1",0.000229232747749953,0.613220888027857,0.57,0.397,1
"RP11-506H20.1",0.00023015632888475,-0.74631730444037,0.358,0.511,1
"RP11-436K8.1",0.000255129880868608,2.30210211362718,0.151,0.04,1
"PCDH9-AS2",0.000256198961460949,2.76589520732348,0.109,0.017,1
"HCG17",0.000277548734918452,0.489554747433345,0.709,0.534,1
"ALOX12-AS1",0.000287589301821645,0.788961687883136,0.415,0.241,1
"TMEM161B-AS1",0.000296154545589522,0.478095106546289,0.898,0.891,1
"AC074363.1",0.000298420148990943,0.737672839286262,0.426,0.253,1
"RP11-197K3.1",0.000305351698864006,1.20007042744185,0.264,0.121,1
"RP11-460M2.1",0.000403588266515336,2.19855339474278,0.136,0.034,1
"A1BG-AS1",0.000407377146634806,-1.62468301198426,0.064,0.167,1
"RP11-403A21.1",0.000410260994265223,-1.8717209895182,0.053,0.149,1
"AC074212.6",0.000420297179038649,-1.21514942245925,0.117,0.236,1
"RP1-179N16.6",0.000422321471850802,2.43057257107613,0.106,0.017,1
"LINC00667",0.000438648325940316,1.41489940404812,0.215,0.086,1
"LINC00106",0.000458962087354821,-1.25219538371612,0.242,0.379,1
"RP11-16B13.1",0.000472470707292745,0.778439386901605,0.445,0.276,1
"RP11-536G4.2",0.000490753103233397,-0.699354738114646,0.332,0.471,1
"RP11-10K16.1",0.000495822233504455,1.7142830601527,0.162,0.052,1
"MAPK4",0.000523551143685773,-0.83500471000335,0.619,0.69,1
"AC091878.1",0.000541089456509557,0.56436979052205,0.411,0.224,1
"LINC00844",0.000551615085912075,1.74353227164418,0.185,0.069,1
"RP11-18H7.1",0.000557994787010686,1.74182910688011,0.151,0.046,1
"CYP4F26P",0.000565139109502906,-2.09460733882107,0.026,0.103,1
"KB-1460A1.5",0.000620552067056571,2.52267512957403,0.102,0.017,1
"RP11-455P21.3",0.000622245030337096,1.79380601051602,0.14,0.04,1
"RP11-35G9.5",0.000627396673880316,1.97436830064217,0.132,0.034,1
"AF146191.4",0.000654776468119274,1.03036749288201,0.287,0.144,1
"ERICH6-AS1",0.0006591196069602,-0.655958075545788,0.377,0.506,1
"JAKMIP2-AS1",0.000707516180029096,0.792864061145584,0.189,0.069,1
