"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CTB-113P19.1",1.03526040651833e-09,1.15916654264801,0.109,0.059,2.76797574890807e-05
"LINC00667",1.28907526157209e-09,0.681944281498013,0.135,0.077,3.44660052686529e-05
"RP3-414A15.10",2.0057621681787e-09,0.770744788767959,0.136,0.079,5.36280630905939e-05
"RP11-370I10.6",2.67727957951789e-09,-0.67571351262316,0.144,0.21,7.15824241175697e-05
"LINC01338",2.69786908623085e-09,0.787467212264818,0.128,0.073,7.21329257585542e-05
"LINC00632",3.93953867688711e-09,0.614595496300942,0.194,0.128,0.000105331445603931
"AC026188.1",4.89202455532135e-09,-0.693092604215612,0.089,0.145,0.000130798060535627
"CTD-2215E18.1",5.97814473287456e-09,-0.689098327817233,0.173,0.24,0.000159837655722867
"UNQ6494",6.35035502250625e-09,-0.94843760928866,0.061,0.109,0.00016978944223675
"CTD-3131K8.2",6.38237076593884e-09,0.751847841246358,0.15,0.093,0.000170645447168907
"RP11-138A9.2",6.41452970379936e-09,0.78343588392822,0.134,0.079,0.000171505280690484
"RP3-525N10.2",6.49497530419055e-09,-0.494888541827181,0.212,0.284,0.000173656154708143
"SLC6A1-AS1",6.65590571823477e-09,-0.461420728789116,0.136,0.202,0.000177958951188443
"RP11-230B22.1",1.15713553733797e-08,0.565872689378496,0.249,0.18,0.000309383328618053
"CTC-255N20.1",1.224547145204e-08,0.793993798247745,0.103,0.056,0.000327407170213194
"NR2F1-AS1",1.36140045402924e-08,-0.299216168358204,0.623,0.701,0.000363997639393798
"CPB2-AS1",1.41934718566377e-08,-0.905172622617118,0.07,0.119,0.000379490857030921
"RP11-572M11.4",1.48035826228522e-08,-0.814998406128592,0.086,0.139,0.000395803388587198
"bP-21264C1.2",2.39094908962512e-08,-0.589866141168513,0.095,0.15,0.000639268058093069
"CTD-2337A12.1",2.52086221385186e-08,-0.442470123714752,0.191,0.261,0.000674002930117572
"RP11-16B13.1",2.66978887935323e-08,-0.77769217510204,0.066,0.113,0.000713821452672674
"RP11-134G8.7",3.64556715328185e-08,0.914342146031688,0.107,0.061,0.000974715289772968
"RP11-83A24.2",4.24529843929434e-08,0.450909140368543,0.307,0.235,0.00113506544371413
"RP11-371F15.3",4.27965380880475e-08,0.735820889728409,0.104,0.058,0.00114425103886013
"NORAD",5.0894720820319e-08,0.44878268573581,0.2,0.137,0.00136077215057287
"PWAR6",5.11063678258928e-08,0.389485264942646,0.373,0.3,0.0013664309565609
"RP11-460M2.1",6.18744375586514e-08,0.915891086896031,0.122,0.074,0.00165433683700566
"MAP3K14",6.47384875968231e-08,0.397148386848071,0.305,0.232,0.00173091294287626
"KB-1507C5.4",6.87088697315064e-08,-0.677889361652479,0.088,0.139,0.00183706905001129
"PCDH9-AS2",8.67297993657107e-08,-0.631725561418113,0.145,0.204,0.00231889464564101
"ZBED5-AS1",1.06545919264279e-07,-0.697517683325679,0.068,0.114,0.00284871824336903
"CTD-2341M24.1",1.1406217768373e-07,-0.774194223969195,0.065,0.109,0.0030496804447299
"RP11-16P20.3",1.25888127950052e-07,-0.682057844732813,0.124,0.179,0.00336587087700055
"RP11-569G13.3",1.96174798812785e-07,-0.843440817341379,0.058,0.1,0.00524512559585742
"RP11-317J19.1",2.22165754639482e-07,0.653283497230457,0.147,0.096,0.00594004578179582
"RP11-299J3.8",4.25824798740906e-07,-0.621880350183567,0.089,0.137,0.0113852776439356
"RP5-894A10.2",7.14222600747678e-07,0.818425539453267,0.104,0.063,0.0190961696761907
"RP11-983P16.4",7.25454493562031e-07,-0.733299982328948,0.097,0.144,0.019396476794368
"CTD-2260A17.2",9.04861919771243e-07,-0.745893397456722,0.077,0.121,0.0241932931489237
"CTD-2516F10.2",1.13400805108765e-06,0.767311808673898,0.137,0.091,0.0303199732619304
"RP11-584P21.2",1.21130106221315e-06,0.591890912234445,0.136,0.088,0.032386556500393
"LINC00662",1.33337656117185e-06,0.346300004675633,0.277,0.213,0.0356504891160517
"LINC01004",1.52044673976411e-06,0.324284884802918,0.407,0.339,0.0406521844810731
"NRSN2-AS1",1.56329495136869e-06,0.345066893207539,0.255,0.193,0.0417978171147447
"RP11-167P20.1",1.64389127657053e-06,-0.439257965599752,0.181,0.241,0.0439527210616663
"IDI2-AS1",1.75095844370981e-06,-0.670972621689588,0.062,0.101,0.0468153759094693
"LINC01285",1.94976230537578e-06,-0.525019050531943,0.102,0.15,0.0521307947588322
"RP11-582J16.4",2.53168631777461e-06,-0.549374809169005,0.107,0.154,0.0676896970783397
"RP1-78O14.1",3.59000241177243e-06,0.564816500965677,0.174,0.125,0.0959858944835595
"RP11-116O18.3",3.88214086347988e-06,-0.582273172330408,0.071,0.111,0.103796800266861
"RP5-858L17.1",4.55893155874789e-06,-0.458093097022862,0.157,0.209,0.121892153086242
"EMX2OS",5.01038842120247e-06,-0.350608438190286,0.157,0.211,0.133962755217691
"MIAT",5.62547507668058e-06,-0.525141972532188,0.129,0.178,0.150408327125209
"RP11-378J18.9",6.21398941394532e-06,-0.580335020471302,0.067,0.105,0.166143434960656
"RP11-944L7.4",7.32545928281851e-06,-0.48305765342827,0.204,0.257,0.195860804844719
"FLG-AS1",8.70718086354919e-06,-0.463174116846177,0.19,0.242,0.232803894748715
"MIR646HG",9.39955742257205e-06,0.561777185124292,0.138,0.095,0.251315966807309
"ENTPD3-AS1",9.83484260549354e-06,-0.477609922093452,0.207,0.258,0.262954186743081
"TTTY10",1.09132042197212e-05,-0.527412636380872,0.109,0.152,0.291786341222685
"RP11-727A23.10",1.16515836190813e-05,-0.444052722910976,0.082,0.122,0.311528391223377
"WAC-AS1",1.52555859177795e-05,-0.586005096390481,0.106,0.147,0.407888600683671
"MYLK-AS1",2.36057758423667e-05,0.517232183277469,0.157,0.114,0.631147628697357
"RP11-109A6.5",2.48770458474936e-05,-0.513363036334942,0.098,0.139,0.665137574824437
"RP1-111C20.4",2.59415448464682e-05,-0.479108896529499,0.109,0.151,0.693599084560021
"RP1-43E13.2",2.77015814622897e-05,0.50253104458622,0.174,0.129,0.74065718355724
"LINC00685",2.96960601810617e-05,0.458713815746322,0.161,0.117,0.793983561061046
"RP4-678D15.1",3.16439698858902e-05,0.418849313191342,0.161,0.117,0.846064822839046
"RP11-486O13.4",3.84272986650609e-05,-0.43385729947185,0.236,0.281,1
"PHF1",3.96372179827026e-05,0.38274680587706,0.173,0.127,1
"AC016907.3",3.99480319802932e-05,-0.493899361735147,0.079,0.116,1
"DLEU2",4.12232642254235e-05,-0.272054248741855,0.38,0.437,1
"RP11-798K3.2",4.17480793666068e-05,-0.492481522352535,0.093,0.132,1
"LINC00630",4.83249832704795e-05,-0.445984429821984,0.108,0.149,1
"DNAJC3-AS1",5.10740374131048e-05,0.587106304056945,0.103,0.068,1
"LINC01473",5.24666477914177e-05,-0.330238647296715,0.172,0.222,1
"RP11-426C22.5",5.75542036434069e-05,-0.428993876232242,0.145,0.189,1
"EIF3J-AS1",7.61409068951168e-05,0.512158386249009,0.106,0.071,1
"STX18-AS1",8.72052145742765e-05,-0.279371908697618,0.241,0.297,1
"JPX",0.000102436295697666,-0.29780128451136,0.457,0.499,1
"SRP14-AS1",0.000148247838168077,0.34474142714675,0.217,0.171,1
"TTN-AS1",0.000159042234088029,-0.376437192167631,0.342,0.381,1
"RP11-1000B6.3",0.000165811261687329,-0.295849919386499,0.282,0.328,1
"LINC00937",0.000167604941102726,-0.423582461373489,0.17,0.211,1
"RP11-475O6.1",0.000183630393846774,-0.547530997299899,0.071,0.103,1
"RP11-53O19.1",0.000221724427925695,-0.35111477926508,0.092,0.127,1
"RP11-467L24.1",0.000310794910977598,0.598726415905102,0.116,0.083,1
"STXBP5-AS1",0.000320266933722017,-0.302200668519734,0.091,0.125,1
"AC073283.4",0.000360883416759023,0.466886602384381,0.117,0.084,1
"RP5-921G16.1",0.00037847983432922,0.257121537706226,0.253,0.205,1
"OSMR-AS1",0.00038911241610288,0.32354313613354,0.334,0.287,1
"FAM85B",0.000460620723742913,-0.263426151745173,0.33,0.376,1
"RP11-352M15.2",0.000521502963005967,0.452954667837909,0.126,0.093,1
"RP11-1007O24.3",0.000613343886032291,0.370744579256564,0.167,0.13,1
"LINC01505",0.000692991499402029,0.549637512429679,0.12,0.089,1
"TMEM9B-AS1",0.000706612799737429,-0.3083203345811,0.147,0.186,1
"RP11-2B6.3",0.00100156479624379,0.366524524788411,0.146,0.112,1
"RP11-130F10.1",0.00113502263382931,-0.405268664895868,0.127,0.16,1
"RP4-613B23.1",0.00122212317984481,-0.382086981028754,0.255,0.291,1
"LINC00476",0.00124268276266515,-0.379721478610249,0.203,0.24,1
"VAC14-AS1",0.00125533683491123,-0.443636446137205,0.105,0.135,1
"FIRRE",0.00148027811629015,-0.522556327917739,0.097,0.125,1
"RP11-778J15.1",0.0016956186265103,0.45921343999861,0.105,0.078,1
"CTB-179K24.3",0.00199095273555641,0.417994102020976,0.129,0.098,1
"RP11-530C5.1",0.00238942592697751,0.35243157708373,0.177,0.143,1
"CTB-161M19.4",0.00258580788348682,-0.392730249259034,0.098,0.126,1
"GNG12-AS1",0.0031688470461119,-0.405965793782264,0.182,0.215,1
"XXbac-BPG55C20.7",0.00346031437454449,0.354800668451869,0.179,0.147,1
