"gene","cluster_id","logFC","p_val","p_adj.loc"
"RP11-142A5.1","Excitatory Neurons (SubtypeA)",-0.905,0.000933,0.029
"ZMIZ1-AS1","Excitatory Neurons (SubtypeA)",-0.91,0.000927,0.029
"RP11-405A12.2","Excitatory Neurons (SubtypeA)",-0.994,0.00101,0.0302
"LINC01006","Excitatory Neurons (SubtypeA)",-0.798,0.00109,0.0321
"AC007563.5","Excitatory Neurons (SubtypeA)",-0.87,0.00119,0.0343
"RP11-416N4.4","Excitatory Neurons (SubtypeA)",1.33,0.00126,0.0358
"ZFHX4-AS1","Excitatory Neurons (SubtypeA)",0.87,0.00138,0.0385
"CTC-498M16.4","Excitatory Neurons (SubtypeA)",-1.09,0.00169,0.0464
"RP4-651E10.4","Excitatory Neurons (SubtypeA)",0.923,0.00178,0.048
"LINC01322","Inhibitory Neurons",2.02,3.5e-09,1.23e-06
"RP4-625H18.2","Inhibitory Neurons",-1.36,1.35e-06,0.000237
"AC007563.5","Inhibitory Neurons",1.81,2.05e-05,0.0024
"KCNQ1OT1","Inhibitory Neurons",-1.07,7.21e-05,0.00506
"RP5-1021I20.5","Inhibitory Neurons",2.24,6.11e-05,0.00506
"RP11-30J20.1","Inhibitory Neurons",1.36,0.000234,0.012
"RP11-323I15.5","Inhibitory Neurons",-1.51,0.000239,0.012
"RP11-692D12.1","Inhibitory Neurons",-1.16,0.000312,0.0137
"CTC-467M3.1","Inhibitory Neurons",-1.73,0.00037,0.0144
"LINC00320","Inhibitory Neurons",2.02,0.000489,0.0172
"RP11-238K6.1","Inhibitory Neurons",-1.48,0.000721,0.023
"PKN2-AS1","Inhibitory Neurons",-1.94,0.00153,0.0449
"LINC00970","Inhibitory Neurons",-1.03,0.00172,0.0465
"RAP2C-AS1","Microglia",-1.33,1.38e-05,0.00587
"LINC00862","Microglia",1.39,0.000154,0.0253
"RP11-72M17.1","Microglia",-2.16,0.000178,0.0253
"LUCAT1","Oligodendrocytes",1.73,5.92e-07,0.000979
