"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RP11-317J19.1",9.51019816637159e-28,0.821916418488717,0.108,0.076,2.54274168374277e-23
"FAM66B",9.73961394103935e-28,-0.694188161639255,0.097,0.133,2.60408057941569e-23
"FLJ27354",1.54303702540447e-27,-0.443364176911349,0.157,0.2,4.12561809482393e-23
"CTC-459F4.3",7.39760221051843e-27,-0.600895875719422,0.126,0.164,1.97789690302631e-22
"MIR4300HG",8.5544745518654e-27,0.609601138719955,0.181,0.141,2.28720986093225e-22
"CTD-2260A17.2",2.02711664402406e-26,-0.510339596320289,0.174,0.215,5.41990177112712e-22
"MYLK-AS1",2.51611939038191e-26,0.350926032156909,0.152,0.113,6.72734841406412e-22
"CTD-3131K8.2",2.90853430276525e-26,0.419947081221576,0.192,0.15,7.77654816530344e-22
"RP3-406A7.7",6.87704153202583e-26,0.498537746119907,0.103,0.071,1.83871459441775e-21
"RP11-71N10.1",1.75888472622065e-25,-0.539327138060809,0.108,0.144,4.70273009249615e-21
"SNAP25-AS1",2.19341488831206e-25,0.710240041047049,0.121,0.088,5.86453338687997e-21
"RP11-452H21.1",3.33481949735577e-25,0.423441492646938,0.197,0.155,8.91630689008011e-21
"MCM3AP-AS1",4.00599584953572e-25,0.522446914946203,0.116,0.083,1.07108311029036e-20
"AF146191.4",7.23763388267744e-25,0.348845432662411,0.218,0.174,1.93512617121147e-20
"AC010127.3",1.0853673926642e-24,0.781074677013974,0.119,0.088,2.90194679776626e-20
"RP11-983P16.4",1.93193231628671e-24,-0.633166294527563,0.109,0.143,5.16540743405577e-20
"DNAJC3-AS1",2.05076101512323e-24,0.433042249054576,0.118,0.085,5.48311972613497e-20
"RP11-197K3.1",2.08767583245721e-24,0.467426932787689,0.111,0.079,5.58181887324084e-20
"RP11-351M8.2",3.51982069796893e-24,-0.350039776911887,0.118,0.156,9.41094460015953e-20
"LINC00844",4.84367941336631e-24,-0.406723169825755,0.166,0.206,1.29505456475175e-19
"RAB30-AS1",8.51643336314417e-24,-0.309828179359047,0.366,0.406,2.27703878830386e-19
"ZNF337-AS1",1.20570007208781e-23,-0.553872157004801,0.1,0.134,3.22368028274117e-19
"AP000487.6",1.53523252735544e-23,0.429537138346462,0.151,0.115,4.10475120839023e-19
"CTB-161M19.4",1.77449027133384e-23,-0.492000514324588,0.107,0.142,4.74445463846529e-19
"AC004053.1",2.78595079411025e-23,-0.589188244153995,0.086,0.117,7.44879663821258e-19
"TMEM161B-AS1",4.15180213071067e-23,0.276552298801876,0.646,0.64,1.11006733568811e-18
"RP11-455P21.3",5.54648863751694e-23,0.568341556830755,0.136,0.104,1.4829646670129e-18
"LINC00476",9.97400696478989e-23,-0.346392721224464,0.26,0.303,2.66675024217587e-18
