,gene,cluster_id,baseMean,logFC,lfcSE,stat,p_val,p_adj.loc,p_adj.glb,contrast
2456,RP11-1H15.2,Oligodendrocytes,29,0.398,0.39,1.02,0.307,0.695,0.74,PD
2457,MRVI1-AS1,Oligodendrocytes,70.9,0.37,0.318,1.17,0.244,0.631,0.686,PD
2458,ZBED5-AS1,Oligodendrocytes,67.3,-0.515,0.245,-2.1,0.0357,0.259,0.305,PD
2459,RP11-17A1.3,Oligodendrocytes,62.3,-0.783,0.263,-2.97,0.00293,0.0614,0.0766,PD
2460,RP11-266A24.1,Oligodendrocytes,12,-0.172,0.44,-0.391,0.696,0.908,0.932,PD
2461,BDNF-AS,Oligodendrocytes,380,-0.448,0.203,-2.2,0.0277,0.224,0.268,PD
2462,Z83001.1,Oligodendrocytes,12.1,-0.608,0.566,-1.07,0.283,0.675,0.719,PD
2463,RP1-65P5.3,Oligodendrocytes,20.4,-0.00165,0.423,-0.00391,0.997,0.997,0.999,PD
2464,CSTF3-AS1,Oligodendrocytes,19.6,0.0341,0.349,0.0978,0.922,0.979,0.986,PD
2465,RP11-472I20.3,Oligodendrocytes,43.8,0.101,0.293,0.344,0.731,0.921,0.942,PD
2466,RP11-613D13.5,Oligodendrocytes,10.1,1.4,0.481,2.91,0.00362,0.0688,0.0846,PD
2467,RP11-702F3.3,Oligodendrocytes,9.67,-0.387,0.43,-0.902,0.367,0.74,0.787,PD
2468,RP11-21A7A.2,Oligodendrocytes,65.6,0.287,0.337,0.851,0.395,0.754,0.8,PD
2469,AP001462.6,Oligodendrocytes,13.5,-1.02,0.502,-2.04,0.0412,0.282,0.326,PD
2470,NEAT1,Oligodendrocytes,13200,1.29,0.355,3.62,0.000296,0.0174,0.0179,PD
2471,MALAT1,Oligodendrocytes,85700,0.0408,0.264,0.155,0.877,0.964,0.979,PD
2472,RP11-770G2.2,Oligodendrocytes,12.3,-0.176,0.539,-0.327,0.744,0.921,0.944,PD
2473,RP11-658F2.8,Oligodendrocytes,17.8,-0.239,0.412,-0.579,0.563,0.851,0.887,PD
2474,RP11-119D9.1,Oligodendrocytes,16.4,0.165,0.413,0.398,0.69,0.908,0.931,PD
2475,AP000487.6,Oligodendrocytes,62.6,0.525,0.438,1.2,0.231,0.619,0.675,PD
2476,AP000487.5,Oligodendrocytes,51.2,0.216,0.249,0.869,0.385,0.748,0.794,PD
2477,RP11-660L16.2,Oligodendrocytes,26,0.157,0.347,0.454,0.65,0.889,0.919,PD
2478,RP11-111M22.3,Oligodendrocytes,30.3,0.0177,0.293,0.0605,0.952,0.988,0.991,PD
2479,RP11-91P24.7,Oligodendrocytes,86.3,0.0643,0.253,0.254,0.799,0.941,0.96,PD
2480,KCTD21-AS1,Oligodendrocytes,21.5,0.145,0.38,0.381,0.703,0.91,0.933,PD
2481,RP11-452H21.1,Oligodendrocytes,153,0.207,0.396,0.522,0.602,0.869,0.903,PD
2482,RP11-686G23.2,Oligodendrocytes,10.2,-0.11,0.441,-0.25,0.803,0.941,0.961,PD
2483,MIR4300HG,Oligodendrocytes,154,0.495,0.364,1.36,0.174,0.549,0.605,PD
2484,RAB30-AS1,Oligodendrocytes,413,-0.105,0.15,-0.701,0.483,0.794,0.851,PD
2485,RP11-113K21.4,Oligodendrocytes,18.4,-0.126,0.573,-0.22,0.826,0.944,0.968,PD
2486,PCF11-AS1,Oligodendrocytes,22.5,0.147,0.302,0.486,0.627,0.88,0.912,PD
2487,RP11-727A23.10,Oligodendrocytes,84.4,-0.138,0.283,-0.488,0.626,0.88,0.912,PD
2488,RP11-160H12.2,Oligodendrocytes,125,0.23,0.456,0.505,0.614,0.874,0.907,PD
2489,CTD-2537O9.1,Oligodendrocytes,15.5,-0.0161,0.503,-0.0321,0.974,0.99,0.993,PD
2490,RP11-317J19.1,Oligodendrocytes,28.2,0.561,0.368,1.52,0.127,0.475,0.529,PD
2491,RP11-867G2.8,Oligodendrocytes,9.05,0.236,0.504,0.468,0.639,0.882,0.915,PD
2492,RP11-712B9.2,Oligodendrocytes,52.3,-0.56,0.243,-2.31,0.0209,0.196,0.23,PD
2493,RP11-94P11.4,Oligodendrocytes,13.5,-0.84,0.46,-1.83,0.0675,0.352,0.401,PD
2494,RP11-819C21.1,Oligodendrocytes,25.4,0.0723,0.325,0.222,0.824,0.944,0.968,PD
2495,RP11-708B6.2,Oligodendrocytes,14.4,0.555,0.606,0.915,0.36,0.737,0.782,PD
2496,RP11-356J5.12,Oligodendrocytes,85.1,-0.297,0.199,-1.5,0.134,0.486,0.539,PD
2497,RP11-64D24.2,Oligodendrocytes,15.2,0.69,0.595,1.16,0.246,0.632,0.688,PD
2498,AP000462.2,Oligodendrocytes,47.4,0.47,0.511,0.92,0.357,0.736,0.78,PD
2499,APOA1-AS,Oligodendrocytes,9.5,-0.028,0.591,-0.0475,0.962,0.988,0.991,PD
2500,BACE1-AS,Oligodendrocytes,9.96,0.579,0.411,1.41,0.159,0.523,0.579,PD
2501,AP000892.4,Oligodendrocytes,33.2,0.191,0.358,0.534,0.593,0.868,0.899,PD
2502,RP11-770J1.3,Oligodendrocytes,17,-0.303,0.334,-0.907,0.364,0.739,0.786,PD
2503,AP002954.4,Oligodendrocytes,38.7,0.43,0.379,1.14,0.256,0.646,0.697,PD
2504,RP11-110I1.12,Oligodendrocytes,12.2,0.334,0.406,0.824,0.41,0.765,0.809,PD
2505,RP11-110I1.13,Oligodendrocytes,9.61,0.043,0.496,0.0867,0.931,0.983,0.987,PD
2506,RP11-640N11.2,Oligodendrocytes,11.7,0.149,0.555,0.269,0.788,0.94,0.958,PD
2507,RP11-716H6.1,Oligodendrocytes,15.7,-0.497,0.415,-1.2,0.231,0.619,0.676,PD
2508,RP11-716H6.2,Oligodendrocytes,10.8,-0.298,0.606,-0.491,0.623,0.879,0.911,PD
2509,CTD-2216M2.1,Oligodendrocytes,9.11,0.108,0.417,0.259,0.795,0.941,0.959,PD
2510,RP11-677M14.7,Oligodendrocytes,40.7,0.246,0.252,0.977,0.329,0.715,0.758,PD
2511,STT3A-AS1,Oligodendrocytes,10.7,0.361,0.492,0.734,0.463,0.79,0.84,PD
2512,RP11-712L6.5,Oligodendrocytes,12.9,1.79,0.539,3.32,0.000906,0.034,0.0368,PD
2513,ST3GAL4-AS1,Oligodendrocytes,16.9,0.41,0.444,0.924,0.355,0.734,0.778,PD
2514,KIRREL3-AS1,Oligodendrocytes,12.2,-0.142,0.468,-0.303,0.762,0.932,0.95,PD
2515,RP11-115C10.1,Oligodendrocytes,9.15,0.293,0.527,0.557,0.578,0.858,0.893,PD
2516,RP11-121M22.1,Oligodendrocytes,16.8,-1.36,0.5,-2.72,0.00655,0.098,0.122,PD
2517,RP11-890B15.3,Oligodendrocytes,20.3,-0.561,0.388,-1.45,0.148,0.506,0.562,PD
2518,AP003025.2,Oligodendrocytes,30.7,0.253,0.529,0.478,0.633,0.882,0.913,PD
2519,RP11-217L21.1,Oligodendrocytes,32.6,0.608,0.489,1.24,0.214,0.599,0.659,PD
2520,NTM-AS1,Oligodendrocytes,39.3,0.377,0.324,1.16,0.245,0.631,0.687,PD
2521,AP004372.1,Oligodendrocytes,11.6,0.364,0.518,0.704,0.482,0.794,0.851,PD
2522,RP11-809C18.3,Oligodendrocytes,70.1,-0.239,0.381,-0.627,0.531,0.828,0.873,PD
2523,IDI2-AS1,Oligodendrocytes,59.1,0.142,0.294,0.484,0.629,0.88,0.913,PD
2524,ADARB2-AS1,Oligodendrocytes,82.1,0.869,0.969,0.897,0.37,0.744,0.789,PD
2525,RP11-336A10.2,Oligodendrocytes,15.2,-0.032,0.439,-0.073,0.942,0.986,0.989,PD
2526,RP11-563J2.2,Oligodendrocytes,15.1,-1.93,0.588,-3.28,0.00106,0.0351,0.0405,PD
2527,RP11-799O21.2,Oligodendrocytes,191,0.32,0.264,1.22,0.224,0.614,0.671,PD
2528,RP11-398C13.6,Oligodendrocytes,9.11,0.119,0.413,0.289,0.773,0.936,0.953,PD
2529,STAM-AS1,Oligodendrocytes,23.2,0.262,0.306,0.855,0.393,0.754,0.799,PD
2530,RP11-499P20.2,Oligodendrocytes,115,0.133,0.176,0.755,0.45,0.782,0.832,PD
2531,WAC-AS1,Oligodendrocytes,147,-0.0678,0.222,-0.306,0.76,0.932,0.949,PD
2532,RP11-462L8.1,Oligodendrocytes,31.6,0.181,0.255,0.71,0.477,0.794,0.848,PD
2533,RP11-297A16.2,Oligodendrocytes,8.85,1.29,0.418,3.09,0.00197,0.0509,0.0617,PD
2534,RP11-324I22.4,Oligodendrocytes,143,-0.00263,0.255,-0.0103,0.992,0.996,0.998,PD
2535,ZNF32-AS3,Oligodendrocytes,9.83,-0.536,0.443,-1.21,0.226,0.615,0.672,PD
2536,TMEM72-AS1,Oligodendrocytes,78.8,-1.02,0.383,-2.65,0.00798,0.111,0.136,PD
2537,RP11-38L15.3,Oligodendrocytes,21.2,0.681,0.328,2.08,0.0378,0.266,0.314,PD
2538,RP11-38L15.2,Oligodendrocytes,24.4,-0.328,0.457,-0.718,0.473,0.794,0.845,PD
2539,LINC00843,Oligodendrocytes,92.7,0.347,0.175,1.98,0.0477,0.299,0.348,PD
2540,SGMS1-AS1,Oligodendrocytes,17.6,-0.868,0.379,-2.29,0.0219,0.2,0.237,PD
2541,LINC00844,Oligodendrocytes,155,0.405,0.44,0.92,0.358,0.736,0.78,PD
2542,LINC00845,Oligodendrocytes,10.8,-0.833,0.562,-1.48,0.138,0.489,0.544,PD
2543,RP11-464F9.21,Oligodendrocytes,22.9,-1.05,0.359,-2.92,0.00351,0.0674,0.0832,PD
2544,RP11-574K11.29,Oligodendrocytes,29.6,-0.337,0.369,-0.913,0.361,0.738,0.783,PD
2545,ZMIZ1-AS1,Oligodendrocytes,48.9,-0.871,0.308,-2.82,0.00475,0.0794,0.101,PD
2546,NUTM2B-AS1,Oligodendrocytes,543,-0.394,0.275,-1.43,0.152,0.511,0.566,PD
2547,RP11-182L21.6,Oligodendrocytes,32.1,-0.205,0.488,-0.42,0.674,0.899,0.926,PD
2548,TMEM254-AS1,Oligodendrocytes,54.8,-0.258,0.269,-0.956,0.339,0.724,0.764,PD
2549,RP11-77P6.2,Oligodendrocytes,13.2,0.0138,0.329,0.0419,0.967,0.988,0.991,PD
2550,NUTM2A-AS1,Oligodendrocytes,1150,-0.173,0.231,-0.75,0.453,0.784,0.833,PD
2551,RP11-80H5.9,Oligodendrocytes,50.7,0.0366,0.264,0.139,0.89,0.964,0.98,PD
2552,RP11-310E22.5,Oligodendrocytes,18.8,-0.253,0.487,-0.519,0.603,0.869,0.904,PD
2553,ENTPD1-AS1,Oligodendrocytes,874,-0.36,0.176,-2.05,0.0402,0.279,0.324,PD
2554,RP11-441O15.3,Oligodendrocytes,34,-0.203,0.283,-0.717,0.473,0.794,0.845,PD
2555,OLMALINC,Oligodendrocytes,807,0.664,0.356,1.86,0.0623,0.342,0.386,PD
2556,RP11-324O2.3,Oligodendrocytes,9.79,0.997,0.611,1.63,0.103,0.434,0.479,PD
2557,RP11-354M20.3,Oligodendrocytes,12.6,-0.259,0.493,-0.524,0.6,0.869,0.903,PD
2558,CASC2,Oligodendrocytes,88.2,-0.847,0.371,-2.28,0.0224,0.201,0.239,PD
2559,WDR11-AS1,Oligodendrocytes,200,-0.398,0.218,-1.82,0.0682,0.352,0.403,PD
2560,FAM53B-AS1,Oligodendrocytes,21.2,0.0259,0.331,0.0783,0.938,0.984,0.988,PD
2561,FLJ37035,Oligodendrocytes,11.3,-0.392,0.427,-0.919,0.358,0.736,0.781,PD
2562,LINC00601,Oligodendrocytes,114,0.179,0.245,0.731,0.465,0.79,0.84,PD
2563,RP11-223P11.3,Oligodendrocytes,18.8,0.356,0.52,0.685,0.493,0.801,0.858,PD
2564,RP11-109A6.5,Oligodendrocytes,50.9,-0.112,0.334,-0.334,0.738,0.921,0.944,PD
2565,RP11-218M22.1,Oligodendrocytes,25.9,0.161,0.457,0.352,0.725,0.918,0.939,PD
2566,LINC00940,Oligodendrocytes,25.2,0.000893,0.32,0.00279,0.998,0.998,0.999,PD
2567,RP4-816N1.6,Oligodendrocytes,27,0.362,0.318,1.14,0.255,0.645,0.696,PD
2568,RP5-940J5.6,Oligodendrocytes,12.9,0.439,0.583,0.754,0.451,0.782,0.832,PD
2569,FAM66C,Oligodendrocytes,211,-0.707,0.24,-2.94,0.00327,0.0654,0.0808,PD
2570,RP11-266K4.14,Oligodendrocytes,19.8,-0.993,0.347,-2.86,0.00418,0.0735,0.092,PD
2571,RP11-266K4.9,Oligodendrocytes,9.58,-0.0103,0.395,-0.0261,0.979,0.991,0.994,PD
2572,LINC00937,Oligodendrocytes,27.6,-0.00646,0.314,-0.0206,0.984,0.994,0.996,PD
2573,RP11-90D4.3,Oligodendrocytes,9.5,-0.409,0.45,-0.91,0.363,0.739,0.784,PD
2574,A2ML1-AS1,Oligodendrocytes,9.18,-0.0859,0.516,-0.167,0.868,0.963,0.977,PD
2575,RP11-259O18.5,Oligodendrocytes,16.1,-0.13,0.396,-0.327,0.743,0.921,0.944,PD
2576,A2M-AS1,Oligodendrocytes,22.3,0.374,0.372,1.01,0.314,0.701,0.746,PD
2577,LINC00987,Oligodendrocytes,51.8,0.371,0.337,1.1,0.271,0.664,0.71,PD
2578,RP11-118B22.4,Oligodendrocytes,58.2,0.38,0.266,1.43,0.153,0.513,0.569,PD
2579,RP11-277P12.20,Oligodendrocytes,10.8,1.05,0.406,2.57,0.01,0.131,0.156,PD
2580,SMIM10L1,Oligodendrocytes,61.1,0.397,0.267,1.48,0.138,0.489,0.544,PD
2581,RP11-711K1.8,Oligodendrocytes,82.1,0.401,0.513,0.781,0.435,0.777,0.824,PD
2582,LINC01252,Oligodendrocytes,67.5,0.126,0.439,0.287,0.774,0.936,0.953,PD
2583,LOH12CR2,Oligodendrocytes,15.4,-0.154,0.41,-0.376,0.707,0.911,0.935,PD
2584,RP11-253I19.3,Oligodendrocytes,24,0.102,0.297,0.343,0.731,0.921,0.942,PD
2585,RP11-377D9.3,Oligodendrocytes,9.98,-0.321,0.789,-0.407,0.684,0.904,0.929,PD
2586,RP11-174G6.1,Oligodendrocytes,8.28,0.143,0.523,0.274,0.784,0.939,0.956,PD
2587,RP11-405A12.2,Oligodendrocytes,23.1,0.62,0.387,1.6,0.109,0.442,0.491,PD
2588,RP11-664H17.1,Oligodendrocytes,7.37,1.11,0.592,1.87,0.0612,0.337,0.383,PD
2589,RASSF8-AS1,Oligodendrocytes,151,-0.492,0.209,-2.35,0.0187,0.184,0.219,PD
2590,RP11-967K21.1,Oligodendrocytes,9.28,0.0419,0.421,0.0997,0.921,0.979,0.985,PD
2591,RP11-996F15.2,Oligodendrocytes,29.3,-0.206,0.299,-0.688,0.491,0.799,0.856,PD
2592,OVCH1-AS1,Oligodendrocytes,10.6,0.16,0.648,0.247,0.805,0.941,0.961,PD
2593,DDX11-AS1,Oligodendrocytes,16,0.559,0.471,1.19,0.235,0.623,0.679,PD
2594,DENND5B-AS1,Oligodendrocytes,15.4,0.314,0.4,0.786,0.432,0.777,0.824,PD
2595,RP11-467L13.7,Oligodendrocytes,13.4,-0.0184,0.346,-0.0533,0.958,0.988,0.991,PD
2596,RP11-630C16.2,Oligodendrocytes,8.91,0.133,0.526,0.254,0.8,0.941,0.96,PD
2597,RP11-352M15.1,Oligodendrocytes,30.2,0.621,0.366,1.69,0.0903,0.414,0.457,PD
2598,RP11-352M15.2,Oligodendrocytes,87.5,-0.0949,0.263,-0.361,0.718,0.915,0.938,PD
2599,RP11-96H19.1,Oligodendrocytes,115,-0.365,0.232,-1.57,0.115,0.453,0.504,PD
2600,RP1-197B17.3,Oligodendrocytes,15.4,0.422,0.365,1.15,0.248,0.633,0.69,PD
2601,RP5-1057I20.4,Oligodendrocytes,22.7,-1.34,0.555,-2.41,0.0158,0.17,0.202,PD
2602,RP11-370I10.6,Oligodendrocytes,52.9,-0.952,0.274,-3.48,0.000505,0.0232,0.0249,PD
2603,RP11-386G11.10,Oligodendrocytes,46.6,-0.146,0.26,-0.561,0.575,0.858,0.892,PD
2604,RP4-605O3.4,Oligodendrocytes,189,0.25,0.231,1.08,0.28,0.673,0.717,PD
2605,RP11-845M18.6,Oligodendrocytes,8.62,-0.248,0.469,-0.527,0.598,0.868,0.901,PD
2606,RP11-983P16.4,Oligodendrocytes,102,-0.501,0.262,-1.91,0.0563,0.325,0.369,PD
2607,FLJ12825,Oligodendrocytes,7.58,0.124,0.557,0.223,0.823,0.944,0.968,PD
2608,RP11-644F5.11,Oligodendrocytes,11,0.332,0.436,0.76,0.447,0.782,0.83,PD
2609,RP11-603J24.14,Oligodendrocytes,28.5,0.23,0.289,0.795,0.426,0.776,0.822,PD
2610,RP11-977G19.11,Oligodendrocytes,9.72,-0.669,0.503,-1.33,0.184,0.563,0.618,PD
2611,RP11-620J15.3,Oligodendrocytes,20.4,-0.233,0.321,-0.727,0.467,0.791,0.841,PD
2612,RP11-272B17.1,Oligodendrocytes,11.4,-0.361,0.629,-0.574,0.566,0.852,0.888,PD
2613,RP11-631N16.2,Oligodendrocytes,39.9,-0.422,0.284,-1.49,0.137,0.489,0.543,PD
2614,RP11-196H14.2,Oligodendrocytes,14.2,0.0987,0.427,0.231,0.817,0.942,0.965,PD
2615,RP11-629N8.3,Oligodendrocytes,14.8,-0.225,0.391,-0.577,0.564,0.851,0.887,PD
2616,RP11-766N7.3,Oligodendrocytes,14.2,-0.91,0.477,-1.91,0.0564,0.325,0.369,PD
2617,RP11-637A17.2,Oligodendrocytes,10.3,-0.0406,0.4,-0.102,0.919,0.979,0.985,PD
2618,LINC01481,Oligodendrocytes,163,-0.263,0.278,-0.945,0.345,0.727,0.768,PD
2619,RP11-320P7.2,Oligodendrocytes,406,0.168,0.469,0.359,0.72,0.915,0.938,PD
2620,RP11-588H23.3,Oligodendrocytes,8.85,-0.177,0.518,-0.342,0.733,0.921,0.943,PD
2621,RP11-81H3.2,Oligodendrocytes,427,-0.23,0.277,-0.828,0.408,0.765,0.808,PD
2622,RP11-114H23.1,Oligodendrocytes,16.5,0.662,0.35,1.89,0.0587,0.33,0.375,PD
2623,RP11-20E24.1,Oligodendrocytes,63.3,-0.827,0.264,-3.13,0.00175,0.049,0.0587,PD
2624,RP11-315E17.1,Oligodendrocytes,132,0.171,0.183,0.934,0.35,0.729,0.773,PD
2625,RP11-13A1.3,Oligodendrocytes,12.8,0.43,0.412,1.04,0.297,0.689,0.733,PD
2626,RP11-734K2.4,Oligodendrocytes,116,-0.078,0.239,-0.326,0.744,0.921,0.944,PD
2627,RP11-981P6.1,Oligodendrocytes,62.9,-0.84,0.357,-2.35,0.0188,0.184,0.219,PD
2628,RP11-796E2.4,Oligodendrocytes,17.5,-0.611,0.378,-1.61,0.106,0.44,0.486,PD
2629,RP11-511B23.2,Oligodendrocytes,21.2,-0.462,0.446,-1.04,0.3,0.692,0.734,PD
2630,RP11-887P2.5,Oligodendrocytes,21.1,0.197,0.617,0.319,0.749,0.924,0.947,PD
2631,RP11-144F15.1,Oligodendrocytes,21.4,-0.583,0.336,-1.73,0.0828,0.397,0.443,PD
2632,RP11-412D9.4,Oligodendrocytes,8.51,0.996,0.488,2.04,0.0411,0.282,0.326,PD
2633,FAM222A-AS1,Oligodendrocytes,65,0.261,0.469,0.556,0.578,0.858,0.893,PD
2634,MAPKAPK5-AS1,Oligodendrocytes,42.1,0.562,0.297,1.89,0.0587,0.33,0.375,PD
2635,LINC01234,Oligodendrocytes,29,-0.201,0.497,-0.404,0.686,0.905,0.93,PD
2636,RP11-768F21.1,Oligodendrocytes,12.7,-0.583,0.363,-1.6,0.109,0.442,0.49,PD
2637,RP1-267D11.6,Oligodendrocytes,11.4,-0.489,0.381,-1.28,0.2,0.585,0.64,PD
2638,PXN-AS1,Oligodendrocytes,41.1,-0.157,0.266,-0.591,0.555,0.843,0.882,PD
2639,RP11-340F14.6,Oligodendrocytes,12.6,-0.0586,0.584,-0.1,0.92,0.979,0.985,PD
2640,RP13-941N14.1,Oligodendrocytes,55.2,0.375,0.296,1.27,0.206,0.592,0.647,PD
2641,RP11-282O18.3,Oligodendrocytes,11.2,1.3,0.443,2.94,0.00329,0.0654,0.0808,PD
2642,RP13-942N8.1,Oligodendrocytes,7.69,-0.776,0.532,-1.46,0.145,0.496,0.555,PD
2643,RP11-486O12.2,Oligodendrocytes,9.43,0.22,0.428,0.514,0.607,0.87,0.905,PD
2644,RP11-575F12.1,Oligodendrocytes,10.2,-0.0684,0.443,-0.154,0.877,0.964,0.979,PD
2645,RP11-143E21.6,Oligodendrocytes,8.71,0.0868,0.572,0.152,0.879,0.964,0.979,PD
2646,RP11-61K9.2,Oligodendrocytes,10.5,0.354,0.577,0.614,0.539,0.834,0.877,PD
2647,RP11-61K9.3,Oligodendrocytes,14.6,-0.517,0.384,-1.34,0.179,0.556,0.612,PD
2648,RP11-476H16.1,Oligodendrocytes,14.6,1.29,0.412,3.12,0.00179,0.0493,0.0593,PD
2649,RP11-172H24.4,Oligodendrocytes,50.6,1.09,0.447,2.45,0.0144,0.16,0.191,PD
2650,LINC00539,Oligodendrocytes,148,0.539,0.584,0.924,0.356,0.734,0.778,PD
2651,LINC00327,Oligodendrocytes,8.98,0.0727,0.516,0.141,0.888,0.964,0.98,PD
2652,RP11-428O18.6,Oligodendrocytes,141,-1.01,0.263,-3.84,0.000122,0.0101,0.0116,PD
2653,RP11-141M1.3,Oligodendrocytes,560,-0.324,0.276,-1.17,0.241,0.627,0.683,PD
2654,RP11-16D22.2,Oligodendrocytes,768,0.663,0.282,2.35,0.0188,0.184,0.219,PD
2655,LINC00457,Oligodendrocytes,11.4,0.995,0.594,1.68,0.0936,0.416,0.462,PD
2656,SPG20-AS1,Oligodendrocytes,25.2,0.405,0.407,0.993,0.321,0.709,0.752,PD
2657,LINC00571,Oligodendrocytes,14.7,-0.902,0.367,-2.45,0.0141,0.158,0.189,PD
2658,RP11-50D16.4,Oligodendrocytes,145,0.0475,0.249,0.19,0.849,0.956,0.972,PD
2659,LINC00598,Oligodendrocytes,135,0.433,0.294,1.48,0.14,0.491,0.547,PD
2660,RP11-74J13.8,Oligodendrocytes,92,0.00736,0.185,0.0398,0.968,0.988,0.991,PD
2661,RP11-413N19.2,Oligodendrocytes,10.4,0.427,0.491,0.869,0.385,0.748,0.794,PD
2662,SMIM2-AS1,Oligodendrocytes,13.6,-0.738,0.504,-1.46,0.143,0.495,0.552,PD
2663,TSC22D1-AS1,Oligodendrocytes,10.3,0.186,0.415,0.447,0.655,0.89,0.919,PD
2664,LINC00407,Oligodendrocytes,15.1,-0.226,0.4,-0.565,0.572,0.858,0.892,PD
2665,RP11-321C24.1,Oligodendrocytes,17.8,-0.0581,0.513,-0.113,0.91,0.974,0.984,PD
2666,RP11-290D2.3,Oligodendrocytes,11.5,-0.745,0.401,-1.86,0.0631,0.343,0.389,PD
2667,CPB2-AS1,Oligodendrocytes,865,-0.137,0.132,-1.04,0.299,0.69,0.734,PD
2668,RP11-189B4.7,Oligodendrocytes,45.9,0.588,0.454,1.3,0.195,0.577,0.635,PD
2669,DLEU2,Oligodendrocytes,1070,-0.21,0.159,-1.32,0.187,0.569,0.622,PD
2670,DLEU7-AS1,Oligodendrocytes,11,-1.13,0.502,-2.24,0.0249,0.212,0.254,PD
2671,RNASEH2B-AS1,Oligodendrocytes,14.1,-0.26,0.382,-0.681,0.496,0.804,0.86,PD
2672,INTS6-AS1,Oligodendrocytes,71,0.105,0.263,0.398,0.691,0.908,0.931,PD
2673,RP11-327P2.5,Oligodendrocytes,8.71,-0.506,0.447,-1.13,0.258,0.646,0.698,PD
2674,PCDH9-AS1,Oligodendrocytes,86.9,0.422,0.593,0.711,0.477,0.794,0.848,PD
2675,PCDH9-AS2,Oligodendrocytes,270,0.0852,0.551,0.155,0.877,0.964,0.979,PD
2676,PCDH9-AS3,Oligodendrocytes,23.7,0.0323,0.614,0.0526,0.958,0.988,0.991,PD
2677,PCDH9-AS4,Oligodendrocytes,15.5,0.935,0.747,1.25,0.211,0.595,0.653,PD
2678,LMO7-AS1,Oligodendrocytes,9.22,0.216,0.508,0.425,0.671,0.897,0.925,PD
2679,RNF219-AS1,Oligodendrocytes,12.4,-0.431,0.52,-0.828,0.408,0.765,0.808,PD
2680,RBM26-AS1,Oligodendrocytes,27.2,-0.782,0.326,-2.4,0.0163,0.172,0.205,PD
2681,LINC01080,Oligodendrocytes,74.5,-0.219,0.301,-0.729,0.466,0.79,0.841,PD
2682,LINC00351,Oligodendrocytes,8.12,-0.458,0.706,-0.648,0.517,0.82,0.87,PD
2683,DNAJC3-AS1,Oligodendrocytes,68.6,0.391,0.298,1.31,0.19,0.572,0.626,PD
2684,RP11-12G12.7,Oligodendrocytes,11.4,0.299,0.427,0.701,0.483,0.794,0.851,PD
2685,NALCN-AS1,Oligodendrocytes,13.1,0.998,0.508,1.96,0.0496,0.306,0.353,PD
2686,FGF14-AS2,Oligodendrocytes,14.4,0.203,0.475,0.428,0.669,0.896,0.924,PD
2687,RP11-40E6.1,Oligodendrocytes,13.3,0.281,0.397,0.707,0.479,0.794,0.85,PD
2688,RP11-298I3.1,Oligodendrocytes,24.4,-0.0671,0.39,-0.172,0.864,0.963,0.977,PD
2689,DHRS4-AS1,Oligodendrocytes,67.4,0.00221,0.236,0.00937,0.993,0.996,0.998,PD
2690,NOVA1-AS1,Oligodendrocytes,14.9,-0.62,0.439,-1.41,0.157,0.521,0.577,PD
2691,RP11-596D21.1,Oligodendrocytes,13.4,-0.785,0.361,-2.17,0.0296,0.233,0.28,PD
2692,CTD-2213F21.2,Oligodendrocytes,9.33,0.329,0.558,0.59,0.556,0.843,0.882,PD
2693,ARHGAP5-AS1,Oligodendrocytes,7.35,0.29,0.578,0.503,0.615,0.875,0.907,PD
2694,RP11-320M16.2,Oligodendrocytes,19.3,-0.0296,0.675,-0.0439,0.965,0.988,0.991,PD
2695,RP11-317N8.5,Oligodendrocytes,15.4,0.724,0.441,1.64,0.101,0.428,0.475,PD
2696,LINC00609,Oligodendrocytes,5520,-0.222,0.165,-1.35,0.178,0.555,0.609,PD
2697,PTCSC3,Oligodendrocytes,72,0.165,0.422,0.39,0.697,0.908,0.932,PD
2698,RP11-259K15.2,Oligodendrocytes,523,-0.0879,0.204,-0.43,0.667,0.896,0.924,PD
2699,SLC25A21-AS1,Oligodendrocytes,16,-0.373,0.427,-0.874,0.382,0.748,0.794,PD
2700,CTD-2058B24.3,Oligodendrocytes,16.3,0.323,0.491,0.658,0.511,0.817,0.866,PD
2701,CTD-2058B24.2,Oligodendrocytes,519,0.107,0.272,0.393,0.694,0.908,0.932,PD
2702,RP11-96D24.1,Oligodendrocytes,13.1,0.543,0.728,0.746,0.456,0.785,0.835,PD
2703,LINC00639,Oligodendrocytes,1230,0.0969,0.219,0.442,0.658,0.89,0.92,PD
2704,RP11-111A21.1,Oligodendrocytes,75.5,0.09,0.287,0.314,0.754,0.928,0.948,PD
2705,LINC00871,Oligodendrocytes,9.79,0.668,0.43,1.55,0.12,0.462,0.515,PD
2706,RP11-596C23.6,Oligodendrocytes,38.4,0.457,0.524,0.873,0.383,0.748,0.794,PD
2707,RP11-596C23.2,Oligodendrocytes,8.76,-0.341,0.453,-0.754,0.451,0.782,0.832,PD
2708,LINC01588,Oligodendrocytes,25.7,1.16,0.47,2.46,0.0138,0.156,0.187,PD
2709,FRMD6-AS1,Oligodendrocytes,9.93,-0.83,0.456,-1.82,0.0688,0.354,0.404,PD
2710,RP11-841O20.2,Oligodendrocytes,8.8,0.383,0.447,0.858,0.391,0.753,0.798,PD
2711,RP11-665C16.5,Oligodendrocytes,12.1,0.527,0.487,1.08,0.279,0.672,0.716,PD
