,gene,cluster_id,baseMean,logFC,lfcSE,stat,p_val,p_adj.loc,p_adj.glb,contrast
503,RP11-69L16.4,OPALIN+ Oligodendrocytes,15.6,0.521,0.55,0.947,0.343,0.697,0.768,PD
504,RP3-510L9.1,OPALIN+ Oligodendrocytes,78,0.0215,0.202,0.106,0.915,0.965,0.984,PD
505,RP1-151F17.2,OPALIN+ Oligodendrocytes,10.2,0.146,0.401,0.365,0.715,NA,0.938,PD
506,RP4-625H18.2,OPALIN+ Oligodendrocytes,20.7,-0.216,0.37,-0.585,0.559,0.844,0.885,PD
507,RP11-239H6.2,OPALIN+ Oligodendrocytes,14.5,-0.336,0.462,-0.728,0.467,0.786,0.841,PD
508,RP3-348I23.2,OPALIN+ Oligodendrocytes,9.39,0.0815,0.545,0.15,0.881,NA,0.979,PD
509,CASC15,OPALIN+ Oligodendrocytes,42.9,-0.348,0.368,-0.946,0.344,0.697,0.768,PD
510,RP11-457M11.5,OPALIN+ Oligodendrocytes,29,0.124,0.457,0.272,0.786,0.934,0.957,PD
511,LINC00240,OPALIN+ Oligodendrocytes,128,-0.604,0.252,-2.4,0.0166,0.155,0.206,PD
512,RP1-313I6.12,OPALIN+ Oligodendrocytes,19.1,-0.36,0.43,-0.836,0.403,0.741,0.806,PD
513,ZSCAN16-AS1,OPALIN+ Oligodendrocytes,101,0.113,0.255,0.441,0.659,0.884,0.921,PD
514,HCG17,OPALIN+ Oligodendrocytes,402,0.0332,0.265,0.125,0.901,0.96,0.982,PD
515,HCG27,OPALIN+ Oligodendrocytes,19.4,0.43,0.33,1.3,0.193,0.535,0.631,PD
516,XXbac-BPG154L12.4,OPALIN+ Oligodendrocytes,180,0.558,0.358,1.56,0.119,0.419,0.513,PD
517,HCG25,OPALIN+ Oligodendrocytes,27.7,-0.0748,0.352,-0.213,0.832,0.945,0.968,PD
518,DAXX,OPALIN+ Oligodendrocytes,28.5,0.3,0.351,0.855,0.393,0.732,0.799,PD
519,PHF1,OPALIN+ Oligodendrocytes,84.4,0.197,0.331,0.596,0.551,0.84,0.88,PD
520,XXbac-BPG294E21.9,OPALIN+ Oligodendrocytes,17.3,-0.313,0.365,-0.857,0.391,0.732,0.798,PD
521,RP11-140K17.3,OPALIN+ Oligodendrocytes,20.8,0.722,0.389,1.86,0.0633,0.316,0.39,PD
522,RP3-329A5.8,OPALIN+ Oligodendrocytes,11.3,-0.376,0.413,-0.911,0.362,0.717,0.784,PD
523,RP1-179N16.6,OPALIN+ Oligodendrocytes,90.9,-0.082,0.221,-0.372,0.71,0.9,0.936,PD
524,RP11-61I13.3,OPALIN+ Oligodendrocytes,21.9,0.327,0.57,0.574,0.566,0.851,0.888,PD
525,RP3-475N16.1,OPALIN+ Oligodendrocytes,22.9,0.262,0.438,0.599,0.549,0.84,0.879,PD
526,RP1-8B1.4,OPALIN+ Oligodendrocytes,42.4,0.338,0.255,1.32,0.185,0.524,0.62,PD
527,RP11-795J1.1,OPALIN+ Oligodendrocytes,44.9,0.043,0.27,0.159,0.874,0.956,0.979,PD
528,RP3-523E19.2,OPALIN+ Oligodendrocytes,40.6,0.475,0.566,0.839,0.402,0.741,0.806,PD
529,RP11-472M19.2,OPALIN+ Oligodendrocytes,21.3,0.719,0.404,1.78,0.0751,0.339,0.421,PD
530,RP11-203B9.4,OPALIN+ Oligodendrocytes,31.6,0.0264,0.49,0.054,0.957,0.98,0.991,PD
531,XXbac-BPGBPG55C20.2,OPALIN+ Oligodendrocytes,97.6,-0.0602,0.278,-0.217,0.828,0.945,0.968,PD
532,XXbac-BPG55C20.7,OPALIN+ Oligodendrocytes,220,0.637,0.312,2.04,0.0412,0.25,0.326,PD
