"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC016907.3",0.00106040901732115,-0.30985767075667,0.082,0.108,1
"LINC00461",0.00114569482416843,-0.307872023162695,0.084,0.109,1
"LL22NC03-2H8.5",0.00122280268660997,-0.279363179550907,0.222,0.256,1
"RFPL1S",0.0013250134033636,-0.403519579096161,0.087,0.112,1
"OSER1-AS1",0.00135363696387539,0.400379155860023,0.15,0.12,1
"PRKCA-AS1",0.00146631923785742,0.514674967468306,0.105,0.081,1
"AB015752.3",0.00173877415887544,-0.460860301664799,0.095,0.12,1
"AC023590.1",0.0017742376380188,0.395927072491619,0.185,0.156,1
"CTD-2033A16.3",0.00184461797946234,0.53351275833635,0.107,0.083,1
"CASC15",0.00186829610964763,-0.3561935618,0.095,0.12,1
"LINC01358",0.00190590995429338,-0.396095209526738,0.095,0.12,1
"UFL1-AS1",0.00200374077730229,-0.356264181203512,0.078,0.102,1
"RP11-809C18.3",0.00202693641682076,-0.256105061367809,0.125,0.155,1
"AC037445.1",0.00228356622881319,0.285248888156632,0.131,0.105,1
"RP11-152L20.3",0.00228668179628065,0.41839387620093,0.103,0.079,1
"AF146191.4",0.00307241686320226,0.27058726494334,0.264,0.231,1
"LINC00265",0.00328075510975176,-0.253307827738298,0.094,0.119,1
"RP11-4B14.3",0.00333462653798446,-0.351432444478836,0.119,0.145,1
"PIK3IP1-AS1",0.00349245318339913,-0.298545860202,0.083,0.106,1
"LINC00342",0.00469695429204207,-0.265231646982699,0.11,0.136,1
"TMEM246-AS1",0.004702102008177,-0.276826720041409,0.139,0.167,1
"MIR4300HG",0.00516945404338271,0.31979395678068,0.217,0.189,1
"TMEM254-AS1",0.00560953304331395,-0.340935828006665,0.091,0.113,1
"SMIM10L1",0.00576699890543973,0.286344621312417,0.141,0.116,1
"LINC00506",0.00614896521949305,-0.313411360056633,0.137,0.162,1
"LINC00843",0.00674531353744775,0.345313579725479,0.199,0.172,1
"CRHR1",0.0069843019585461,0.300594725939493,0.217,0.191,1
"RP11-386G11.10",0.00845423365805834,-0.314586643052545,0.082,0.103,1
"LINC00907",0.00889944895640587,-0.486877916746042,0.089,0.109,1
"RP11-539L10.3",0.00925998148330381,0.282234863802355,0.117,0.095,1
"LINC00106",0.0127467202350086,-0.282039331278941,0.08,0.1,1
"APTR",0.0128682303803762,0.35322380576771,0.159,0.137,1
"LINC00886",0.014704160514337,0.321235505794191,0.109,0.09,1
"AP000487.6",0.0149219670105024,0.262362335418739,0.133,0.11,1
"LINC01301",0.0176162083750784,-0.296634400659723,0.098,0.117,1
"LINC00909",0.025207234195907,-0.317640046405659,0.092,0.109,1
"RP11-665G4.1",0.0273894039590391,-0.388873562188411,0.211,0.233,1
"CTD-2516F10.2",0.0275960890883267,0.390522245636446,0.145,0.126,1
"AP006621.5",0.0286156846449257,0.356323239592522,0.134,0.115,1
"LINC01137",0.02968153053894,-0.262047917182341,0.11,0.129,1
"RP13-941N14.1",0.0326348229399814,0.386641506988626,0.115,0.098,1
"RP4-537K23.4",0.0338053207329849,0.507974220732554,0.122,0.106,1
"C21orf91-OT1",0.037873043962852,0.42541631381368,0.128,0.111,1
"RP11-10K17.6",0.0407854516372706,-0.261090188381445,0.088,0.103,1
"LINC00665",0.0429320157191999,-0.347577394017932,0.086,0.101,1
"RP11-711K1.8",0.0478783644285686,0.324350138114013,0.141,0.125,1
"MAP3K14",0.0627172478215536,0.362963569140069,0.106,0.093,1
"FLJ37453",0.0653058304383644,-0.299884519641179,0.103,0.117,1
"LINC00987",0.0696397447128388,0.408844268657728,0.12,0.106,1
"CTD-2034I21.1",0.0710430190930302,-0.252403220472053,0.087,0.101,1
"RP1-234P15.4",0.0910138292242417,-0.258742445312008,0.087,0.1,1
"LURAP1L-AS1",0.122312174530209,-0.378770181195696,0.218,0.229,1
"PCDH9-AS1",0.16252290237795,0.270111074695794,0.163,0.151,1
"CTD-2349P21.11",0.253423574628671,0.266525491253845,0.114,0.105,1
