"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","symbol"
"ENSG00000075651",0,1.92939130752425,0.797,0.313,0,"0","ENSG00000075651","PLD1"
"ENSG00000169247",0,2.21306912599799,0.683,0.201,0,"0","ENSG00000169247","SH3TC2"
"ENSG00000164176",0,1.98459154557999,0.989,0.507,0,"0","ENSG00000164176","EDIL3"
"ENSG00000228624",0,3.00731268744827,0.759,0.278,0,"0","ENSG00000228624","RP3-399L15.3"
"ENSG00000086205",0,2.34657718891507,0.66,0.189,0,"0","ENSG00000086205","FOLH1"
"ENSG00000105290",0,1.66980644572562,0.867,0.396,0,"0","ENSG00000105290","APLP1"
"ENSG00000147459",0,2.08552538584977,0.972,0.502,0,"0","ENSG00000147459","DOCK5"
"ENSG00000154027",0,2.19347421382645,0.811,0.347,0,"0","ENSG00000154027","AK5"
"ENSG00000172005",0,2.75798323331581,0.642,0.183,0,"0","ENSG00000172005","MAL"
"ENSG00000106078",0,1.87516759723962,0.86,0.401,0,"0","ENSG00000106078","COBL"
"ENSG00000114541",0,1.95415969422932,0.966,0.51,0,"0","ENSG00000114541","FRMD4B"
"ENSG00000188580",0,1.25191369745505,0.93,0.475,0,"0","ENSG00000188580","NKAIN2"
"ENSG00000137941",0,2.45635308186595,0.98,0.527,0,"0","ENSG00000137941","TTLL7"
"ENSG00000169760",0,0.413221181114933,0.857,0.405,0,"0","ENSG00000169760","NLGN1"
"ENSG00000071991",0,3.26833657773063,0.568,0.117,0,"0","ENSG00000071991","CDH19"
"ENSG00000148826",0,1.91961388274185,0.662,0.213,0,"0","ENSG00000148826","NKX6-2"
"ENSG00000196104",0,1.941189562745,0.966,0.521,0,"0","ENSG00000196104","SPOCK3"
"ENSG00000154864",0,1.82693170541633,0.672,0.229,0,"0","ENSG00000154864","PIEZO2"
"ENSG00000168297",0,1.9715843686385,0.928,0.488,0,"0","ENSG00000168297","PXK"
"ENSG00000102934",0,2.28982173607426,0.679,0.24,0,"0","ENSG00000102934","PLLP"
"ENSG00000132702",0,1.23890062502891,0.715,0.276,0,"0","ENSG00000132702","HAPLN2"
"ENSG00000141540",0,1.8739768672897,0.755,0.317,0,"0","ENSG00000141540","TTYH2"
"ENSG00000151150",0,1.92415600117441,0.961,0.523,0,"0","ENSG00000151150","ANK3"
"ENSG00000099194",0,1.44045739907727,0.777,0.34,0,"0","ENSG00000099194","SCD"
"ENSG00000261329",0,2.9289297434609,0.576,0.139,0,"0","ENSG00000261329","CTD-2049O4.1"
"ENSG00000224924",0,3.14939031786842,0.572,0.135,0,"0","ENSG00000224924","LINC00320"
"ENSG00000251138",0,3.37702227496625,0.53,0.095,0,"0","ENSG00000251138","RP11-81H3.2"
"ENSG00000207955",0,2.45797037288825,0.624,0.191,0,"0","ENSG00000207955","MIR219A2"
"ENSG00000100142",0,2.24047050266189,0.779,0.347,0,"0","ENSG00000100142","POLR2F"
"ENSG00000152377",0,2.31903661539275,0.957,0.526,0,"0","ENSG00000152377","SPOCK1"
"ENSG00000172508",0,1.6637435999488,0.654,0.225,0,"0","ENSG00000172508","CARNS1"
"ENSG00000176658",0,1.82716813533184,0.833,0.404,0,"0","ENSG00000176658","MYO1D"
"ENSG00000080822",0,1.51957409995928,0.81,0.382,0,"0","ENSG00000080822","CLDND1"
"ENSG00000081479",0,1.48561241539583,0.661,0.236,0,"0","ENSG00000081479","LRP2"
"ENSG00000118322",0,1.55031775252281,0.718,0.293,0,"0","ENSG00000118322","ATP10B"
"ENSG00000124406",0,1.69612190050254,0.958,0.533,0,"0","ENSG00000124406","ATP8A1"
"ENSG00000187164",0,2.06087268082061,0.976,0.552,0,"0","ENSG00000187164","SHTN1"
"ENSG00000136541",0,1.72519358895371,0.641,0.22,0,"0","ENSG00000136541","ERMN"
"ENSG00000182168",0,1.76524022080211,0.948,0.528,0,"0","ENSG00000182168","UNC5C"
"ENSG00000170775",0,2.13104663405659,0.634,0.215,0,"0","ENSG00000170775","GPR37"
"ENSG00000169306",0,2.18950816506545,0.992,0.573,0,"0","ENSG00000169306","IL1RAPL1"
"ENSG00000146122",0,1.13442949515541,0.849,0.43,0,"0","ENSG00000146122","DAAM2"
"ENSG00000152910",0,1.37431473287585,0.768,0.351,0,"0","ENSG00000152910","CNTNAP4"
"ENSG00000144339",0,1.9364226294694,0.835,0.419,0,"0","ENSG00000144339","TMEFF2"
"ENSG00000257585",0,1.04861274307886,0.737,0.326,0,"0","ENSG00000257585","LINC00609"
"ENSG00000177103",0,1.28079786308035,0.869,0.461,0,"0","ENSG00000177103","DSCAML1"
"ENSG00000179104",0,1.90777189442646,0.978,0.571,0,"0","ENSG00000179104","TMTC2"
"ENSG00000139737",0,1.47555545622562,0.934,0.529,0,"0","ENSG00000139737","SLAIN1"
"ENSG00000171877",0,2.04088555614571,0.986,0.581,0,"0","ENSG00000171877","FRMD5"
"ENSG00000112893",0,1.3286439668077,0.975,0.572,0,"0","ENSG00000112893","MAN2A1"
"ENSG00000181409",0,2.07805308148447,0.75,0.348,0,"0","ENSG00000181409","AATK"
"ENSG00000103540",0,2.62971299266029,0.689,0.287,0,"0","ENSG00000103540","CCP110"
"ENSG00000115896",0,1.56302652444183,0.973,0.573,0,"0","ENSG00000115896","PLCL1"
"ENSG00000104419",0,1.53998014928795,0.776,0.38,0,"0","ENSG00000104419","NDRG1"
"ENSG00000135525",0,1.67080019399821,0.988,0.593,0,"0","ENSG00000135525","MAP7"
"ENSG00000006042",0,2.66198071347703,0.526,0.134,0,"0","ENSG00000006042","TMEM98"
"ENSG00000115468",0,1.84674441052862,0.718,0.326,0,"0","ENSG00000115468","EFHD1"
"ENSG00000118515",0,2.06352983177874,0.907,0.516,0,"0","ENSG00000118515","SGK1"
"ENSG00000197430",0,6.70045113102536,0.4,0.009,0,"0","ENSG00000197430","OPALIN"
"ENSG00000028116",0,2.07094888092261,0.687,0.297,0,"0","ENSG00000028116","VRK2"
"ENSG00000005893",0,2.01683952986274,0.845,0.455,0,"0","ENSG00000005893","LAMP2"
"ENSG00000122367",0,1.53247198993362,0.61,0.222,0,"0","ENSG00000122367","LDB3"
"ENSG00000227115",0,2.83757111702486,0.54,0.153,0,"0","ENSG00000227115","LINC01630"
"ENSG00000150510",0,1.64727666587424,0.674,0.289,0,"0","ENSG00000150510","FAM124A"
"ENSG00000197971",0,1.70500707824781,0.997,0.616,0,"0","ENSG00000197971","MBP"
"ENSG00000262223",0,3.68897380656052,0.458,0.078,0,"0","ENSG00000262223","RP11-1055B8.3"
"ENSG00000100242",0,2.15844334202848,0.713,0.333,0,"0","ENSG00000100242","SUN2"
"ENSG00000153707",0,1.31816997386127,0.993,0.615,0,"0","ENSG00000153707","PTPRD"
"ENSG00000123119",0,2.01763101890955,0.646,0.269,0,"0","ENSG00000123119","NECAB1"
"ENSG00000277363",0,1.72295152346879,0.742,0.365,0,"0","ENSG00000277363","SRCIN1"
"ENSG00000116675",0,1.58481996634186,0.937,0.561,0,"0","ENSG00000116675","DNAJC6"
"ENSG00000134851",0,1.64242441810251,0.976,0.6,0,"0","ENSG00000134851","TMEM165"
"ENSG00000176771",0,1.63772444567137,0.964,0.589,0,"0","ENSG00000176771","NCKAP5"
"ENSG00000109846",0,1.14363992853613,0.769,0.395,0,"0","ENSG00000109846","CRYAB"
"ENSG00000108381",0,2.57847630788159,0.524,0.15,0,"0","ENSG00000108381","ASPA"
"ENSG00000176485",0,1.61659956290228,0.735,0.363,0,"0","ENSG00000176485","PLA2G16"
"ENSG00000164171",0,1.86980605725208,0.602,0.231,0,"0","ENSG00000164171","ITGA2"
"ENSG00000164627",0,2.18114687590334,0.68,0.31,0,"0","ENSG00000164627","KIF6"
"ENSG00000136717",0,2.0240538369463,0.79,0.421,0,"0","ENSG00000136717","BIN1"
"ENSG00000047365",0,2.13378151736629,0.944,0.578,0,"0","ENSG00000047365","ARAP2"
